,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,marital-status,occupation,relationship,race,sex,native-country
0,0.1095890410958904,0.12260368466377258,0.6425752639770508,0.09843749999999997,8.135551604790175e-25,0.3877716064453125,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.2876712328767123,0.14881286025047302,0.6159334182739258,0.0328125,3.850189709310494e-21,0.4627270996570587,0.0,0.0,1.0,0.0,1.0,1.0,1.0
2,0.1506849315068493,0.13596943020820618,0.6814542412757874,0.017052650451660156,0.013760656118392944,0.4277912378311157,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3,0.2328767123287671,0.1272718608379364,0.8645833333333333,0.00243261456489563,8.632630965621502e-07,0.4259476065635681,0.0,0.0,1.0,0.0,1.0,1.0,1.0
4,0.0958904109589041,0.12083229422569275,0.6249954700469971,0.14218750000000002,2.173913884838495e-19,0.3853002190589905,0.0,1.0,1.0,1.0,1.0,0.0,1.0
5,0.5205479452054793,0.17666783928871155,0.6513500213623047,0.018750000000000003,3.457061583544588e-27,0.5148473381996155,0.0,0.0,1.0,0.0,1.0,1.0,1.0
6,0.1232876712328767,0.12204703688621521,0.6386392116546631,0.13906250000000003,1.9118640416875568e-23,0.3828366994857788,0.0,1.0,1.0,1.0,1.0,0.0,1.0
7,0.0410958904109589,0.12146461009979248,0.6343398094177246,0.10625000000000002,5.650336430218253e-17,0.41334766149520874,0.0,1.0,0.0,1.0,1.0,1.0,1.0
8,0.35616438356164376,0.1489773690700531,0.6193937063217163,0.018750000000000003,2.9195892250858903e-20,0.46409493684768677,0.0,0.0,1.0,0.0,1.0,0.0,1.0
9,0.27397260273972607,0.12021744251251221,0.6224638223648071,0.12500000000000003,2.755994012157073e-16,0.39198166131973267,0.0,1.0,1.0,1.0,1.0,0.0,1.0
