,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,marital-status,occupation,relationship,race,sex,native-country
0,0.1095890410958904,0.12261798977851868,0.6426839232444763,0.0,7.782151286974411e-25,0.3880895972251892,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.2876712328767123,0.14884784817695618,0.616032600402832,0.0,3.9057077455795806e-21,0.4628126919269562,0.0,0.0,1.0,0.0,1.0,1.0,1.0
2,0.1506849315068493,0.14021331071853638,0.6856167316436768,0.014504998922348022,0.011562258005142212,0.4294741749763489,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3,0.2328767123287671,0.12648513913154602,0.33333333333333337,0.0026063919067382812,1.1993979569524527e-06,0.4241240620613098,0.0,0.0,1.0,0.0,1.0,1.0,1.0
4,0.0958904109589041,0.12084817886352539,0.625225305557251,0.0,2.1391984069993514e-19,0.38575324416160583,0.0,1.0,1.0,1.0,1.0,0.0,1.0
5,0.5205479452054793,0.17669075727462769,0.6514043807983398,0.0,3.485465198364411e-27,0.5148964524269104,0.0,0.0,1.0,0.0,1.0,1.0,1.0
6,0.1232876712328767,0.12206712365150452,0.6387934684753418,0.0,1.795612134440033e-23,0.3832838237285614,0.0,1.0,1.0,1.0,1.0,0.0,1.0
7,0.0410958904109589,0.12147921323776245,0.6344208717346191,0.0,5.062746365985495e-17,0.4134279489517212,0.0,1.0,0.0,1.0,1.0,1.0,1.0
8,0.35616438356164376,0.14899739623069763,0.6194501519203186,0.0,2.9435655075051373e-20,0.46414387226104736,0.0,0.0,1.0,0.0,1.0,0.0,1.0
9,0.27397260273972607,0.12023133039474487,0.6226664185523987,0.0,2.7172644894350544e-16,0.3923824429512024,0.0,1.0,1.0,1.0,1.0,0.0,1.0
